word1,word2,human,
take,remove,6.81,SYNONYMS
walk,trail,4.81,COHYPONYMS
feed,starve,1.49,ANTONYMS
shine,polish,7.8,SYNONYMS
calculate,add,5.98,HYPER/HYPONYMS
cheat,sneak,3.65,NONE
pardon,forgive,8.96,HYPER/HYPONYMS
smell,sniff,7.97,HYPER/HYPONYMS
plow,dig,6.64,NONE
believe,pretend,1.66,NONE
tap,pat,6.97,NONE
condemn,kill,3.65,NONE
crunch,crack,3.65,NONE
erode,destroy,6.34,NONE
try,practice,4.65,NONE
tear,fold,0.66,NONE
replace,move,1.49,HYPER/HYPONYMS
respond,ignore,0.83,NONE
rationalize,argue,4.48,HYPER/HYPONYMS
laugh,sing,1.99,NONE
attack,sneak,1.66,COHYPONYMS
descend,go,3.32,HYPER/HYPONYMS
decompose,dissolve,6.14,NONE
miss,catch,0,NONE
yell,accuse,1.99,NONE
feel,touch,7.8,HYPER/HYPONYMS
connect,separate,1.49,ANTONYMS
decay,deteriorate,8.13,HYPER/HYPONYMS
protect,defend,7.8,HYPER/HYPONYMS
bake,broil,5.98,SYNONYMS
remove,detach,7.47,NONE
describe,define,7.97,NONE
drive,walk,1.49,COHYPONYMS
build,grow,4.81,HYPER/HYPONYMS
decay,decompose,8.3,SYNONYMS
cover,protect,6.81,HYPER/HYPONYMS
dislike,ignore,3.15,NONE
forget,recall,0.33,ANTONYMS
comprehend,learn,7.3,NONE
reflect,look,4.15,NONE
defeat,beat,8.47,HYPER/HYPONYMS
know,inform,1.99,NONE
remind,repeat,5.31,NONE
go,let,2.82,NONE
dislike,disown,3.82,NONE
go,advance,6.64,HYPER/HYPONYMS
produce,reproduce,5.98,HYPER/HYPONYMS
recommend,assist,4.15,NONE
shake,shiver,6.31,HYPER/HYPONYMS
take,carry,5.64,HYPER/HYPONYMS
accomplish,succeed,8.3,HYPER/HYPONYMS
drive,operate,4.98,HYPER/HYPONYMS
ask,tell,0.66,HYPER/HYPONYMS
gather,reap,5.98,HYPER/HYPONYMS
bend,break,4.65,NONE
tear,break,6.14,COHYPONYMS
jump,skip,5.48,SYNONYMS
agree,admit,3.98,NONE
